page_url,file_url,file_name,anchor_text,type,associated_product
https://www.al-enterprise.com/en/products/switches/omniswitch-2360,https://www.al-enterprise.com/-/media/assets/internet/documents/omniswitch-2360-datasheet-en.pdf,omniswitch-2360-datasheet-en.pdf,OmniSwitch 2360,Datasheet,OmniSwitch 2360
https://www.al-enterprise.com/en/products/switches/omniswitch-2360,https://www.al-enterprise.com/-/media/assets/internet/documents/product-omniswitch-matrix-comparison-en.pdf,product-omniswitch-matrix-comparison-en.pdf,OmniSwitch Product Line Matrix Comparison,Product Matrix,OmniSwitch 2360
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1501,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-oaw-ap1501-datasheet-en.pdf,omniaccess-stellar-oaw-ap1501-datasheet-en.pdf,OmniAccess Stellar AP1501,Datasheet,OmniAccess Stellar AP1501
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1501,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-at-a-glance-brochure-en.pdf,omniaccess-stellar-at-a-glance-brochure-en.pdf,OmniAccess Stellar At-a-Glance Guide,Brochure,OmniAccess Stellar AP1501
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1511,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-oaw-ap1511-datasheet-en.pdf,omniaccess-stellar-oaw-ap1511-datasheet-en.pdf,OmniAccess Stellar AP1511,Datasheet,OmniAccess Stellar AP1511
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1511,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-product-line-matrix-antenna-interactive-brochure-en.pdf,omniaccess-stellar-product-line-matrix-antenna-interactive-brochure-en.pdf,OmniAccess Stellar Product Line Matrix,Brochure,OmniAccess Stellar AP1511
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1511,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-at-a-glance-brochure-en.pdf,omniaccess-stellar-at-a-glance-brochure-en.pdf,OmniAccess Stellar At-a-Glance Guide,Brochure,OmniAccess Stellar AP1511
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1521,https://www.al-enterprise.com/-/media/assets/internet/documents/alcatel-lucent-omniaccess-stellar-ap1521-datasheet-en.pdf,alcatel-lucent-omniaccess-stellar-ap1521-datasheet-en.pdf,OmniAccess Stellar AP1521,Datasheet,OmniAccess Stellar AP1521
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1521,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-product-line-matrix-antenna-interactive-brochure-en.pdf,omniaccess-stellar-product-line-matrix-antenna-interactive-brochure-en.pdf,OmniAccess Stellar Product Line Matrix,Brochure,OmniAccess Stellar AP1521
https://www.al-enterprise.com/en/products/wlan/omniaccess-stellar-access-point-1521,https://www.al-enterprise.com/-/media/assets/internet/documents/omniaccess-stellar-at-a-glance-brochure-en.pdf,omniaccess-stellar-at-a-glance-brochure-en.pdf,OmniAccess Stellar At-a-Glance Guide,Brochure,OmniAccess Stellar AP1521
